Site,ToadCallRate,ToadCallRateNorm
C7,7.607142857,2.62962963
SG10,10.81818182,2.938271605
SG12,5,0.061728395
MF2,NaN,0
C2,24.71929825,20.72058824
SG2,16.86538462,11.10126582
SG4,8.897959184,6.707692308
MF1,NaN,0
CB,NaN,0
SB,5,0.032679739
SC,6.142857143,1.124183007
MFA,NaN,0
C8,NaN,0
SG6,NaN,0
SG9,5.9,0.433823529
MF7,5,0.036764706
C4,7.27027027,3.164705882
C5,5,0.117647059
S14,NaN,0
S15,NaN,0
C3,NaN,0
C6,NaN,0
SG1,NaN,0
SG17,NaN,0
